encoded_affiliate	affiliate_id
JMHBHRKM	270450
JMHCRD6S	270451
JMHF2ZS1	270452
JMHGBKF6	270453
JMHHL62C	270454
JMHJTQMJ	270455
JMHL5C8P	270456
JMHMDXTW	270457
JMHNNJH3	270458
JMHPZ548	270459
JMHR7PPF	270460
JMHSHBBL	270461
JMHTQWXR	270462
JMHX2HJZ	270463
JMHZB465	270464
JMJ1KNRB	270465
JMJ2T9DH	270466
JMJ44W1N	270467
JMJ5DGLT	270468
JMJ6N382	270469
JMJ7XMT7	270470
JMJ978GD	270471
JMJBGT3K	270472
JMJCQFNQ	270473
JMJF229X	270474
JMJG9LX4	270475
JMJHK7J9	270476
JMJJSS5G	270477
JMJL4DQM	270478
JMJMD1CS	270479
JMJNML11	270480
JMJPX6L6	270481
JMJR6R7C	270482
JMJSGCSJ	270483
JMJTPZFP	270484
JMJX1K2W	270485
JMJZ95N3	270486
JMK1JQ98	270487
JMK2SBWF	270488
JMK43XHL	270489
JMK5CJ4R	270490
JMK6M4PZ	270491
JMK7WPC5	270492
JMK969ZB	270493
JMKBFWKH	270494
JMKCPH6N	270495
JMKF13RT	270496
JMKG8NF2	270497
JMKHJ927	270498
JMKJRTMD	270499
JMKL3G8K	270500
JMKMC2TQ	270501
JMKNLMGX	270502
JMKPW844	270503
JMKR5SP9	270504
JMKSFFBG	270505
JMKTP1XM	270506
JMKWZLJS	270507
JMKZ8761	270508
JML1HRR6	270509
JML2RDDC	270510
JML4311J	270511
JML5BKLP	270512
JML6L67W	270513
JML7TQT3	270514
JML95CG8	270515
JMLBDZ3F	270516
JMLCNJNL	270517
JMLDZ59R	270518
JMLG7PWZ	270519
JMLHHBJ5	270520
JMLJQX5B	270521
JMLL2HQH	270522
JMLMB4CN	270523
JMLNKNZT	270524
JMLPT9L2	270525
JMLR4W77	270526
JMLSDGSD	270527
JMLTN3FK	270528
JMLWXN2Q	270529
JMLZ78MX	270530
JMM1GT94	270531
JMM2QFW9	270532
JMM422HG	270533
JMM59M4M	270534
JMM6K7PS	270535
JMM7SSC1	270536
JMM94DZ6	270537
JMMBD1KC	270538
JMMCML6J	270539
JMMDX6RP	270540
JMMG6RDW	270541
JMMHGD23	270542
JMMJPZM8	270543
JMML1K8F	270544
JMMM95TL	270545
JMMNJQGR	270546
JMMPSC3Z	270547
JMMR3XP5	270548
JMMSCJBB	270549
JMMTM4XH	270550
JMMWWPJN	270551
JMMZ6B5T	270552
JMN1FWR2	270553
JMN2PHD7	270554
JMN4141D	270555
JMN58NLK	270556
JMN6J97Q	270557
JMN7RTSX	270558
JMN93GG4	270559
JMNBC339	270560
JMNCLMNG	270561
JMNDW89M	270562
JMNG5SWS	270563
JMNHFFJ1	270564
JMNJP256	270565
JMNKZLQC	270566
JMNM87CJ	270567
JMNNHRZP	270568
JMNPRDKW	270569
JMNR3173	270570
JMNSBKS8	270571
JMNTL6FF	270572
JMNWTR2L	270573
JMNZ5CMR	270574
JMP1DZ8Z	270575
JMP2NJW5	270576
JMP3Z5HB	270577
JMP57Q4H	270578
JMP6HBPN	270579
JMP7QXBT	270580
JMP92HZ2	270581
JMPBB4K7	270582
JMPCKP6D	270583
JMPDT9RK	270584
JMPG4WDQ	270585
JMPHDH1X	270586
JMPJN3M4	270587
JMPKXN89	270588
JMPM78TG	270589
JMPNGTGM	270590
JMPPQG3S	270591
JMPR22P1	270592
JMPS9MB6	270593
JMPTK7XC	270594
JMPWSSJJ	270595
JMPZ4F5P	270596
JMQ1D1QW	270597
JMQ2MLD3	270598
JMQ3X718	270599
JMQ56RLF	270600
JMQ6GD7L	270601
JMQ7PZSR	270602
JMQ91KFZ	270603
JMQB9635	270604
JMQCJQNB	270605
JMQDSC9H	270606
JMQG3XWN	270607
JMQHCJHT	270608
JMQJM552	270609
JMQKWPQ7	270610
JMQM6BCD	270611
JMQNFWZK	270612
JMQPPHKQ	270613
JMQR146X	270614
JMQS8NS4	270615
JMQTJ9F9	270616
JMQWRW2G	270617
JMQZ3GMM	270618
JMR1C38S	270619
JMR2LMW1	270620
JMR3W8H6	270621
JMR55T4C	270622
JMR6FFPJ	270623
JMR7P2BP	270624
JMR8ZLXW	270625
JMRB87K3	270626
JMRCHS68	270627
JMRDRDRF	270628
JMRG31DL	270629
JMRHBL1R	270630
JMRJL6LZ	270631
JMRKTR85	270632
JMRM5CTB	270633
JMRNDZGH	270634
JMRPNK3N	270635
JMRQZ5NT	270636
JMRS7QB2	270637
JMRTHBX7	270638
JMRWQXJD	270639
JMRZ2J5K	270640
JMS1B4QQ	270641
JMS2KPCX	270642
JMS3TB14	270643
JMS54WL9	270644
JMS6DH7G	270645
JMS7N3SM	270646
JMS8XNFS	270647
JMSB7931	270648
JMSCGTN6	270649
JMSDQG9C	270650
JMSG22WJ	270651
JMSH9MHP	270652
JMSJK84W	270653
JMSKSSQ3	270654
JMSM4FC8	270655
JMSND1ZF	270656
JMSPMLKL	270657
JMSQX76R	270658
JMSS6RRZ	270659
JMSTGDF5	270660
JMSWQ12B	270661
JMSZ1KMH	270662
JMT1968N	270663
JMT2JQTT	270664
JMT3SCH2	270665
JMT53Z47	270666
JMT6CJPD	270667
JMT7M5BK	270668
JMT8WPXQ	270669
JMTB6BJX	270670
JMTCFX64	270671
JMTDPHR9	270672
JMTG14DG	270673
JMTH8P1M	270674
JMTJJ9LS	270675
JMTKRW81	270676
JMTM3GT6	270677
JMTNC3GC	270678
JMTPLN3J	270679
JMTQW8NP	270680
JMTS5T9W	270681
JMTTFFX3	270682
JMTWP2J8	270683
JMTXZM5F	270684
JMW187QL	270685
JMW2HSCR	270686
JMW3RDZZ	270687
JMW531L5	270688
JMW6BL7B	270689
JMW7L6SH	270690
JMW8TRFN	270691
JMWB5D2T	270692
JMWCDZN2	270693
JMWDNK97	270694
JMWFZ5WD	270695
JMWH7QHK	270696
JMWJHC4Q	270697
JMWKQXPX	270698
JMWM2JC4	270699
JMWNB4Z9	270700
JMWPKPKG	270701
JMWQTB6M	270702
JMWS4WRS	270703
JMWTDHF1	270704
JMWWN426	270705
JMWXXNMC	270706
JMX1798J	270707
JMX2GTTP	270708
JMX3QGGW	270709
JMX52343	270710
JMX69MP8	270711
JMX7K8BF	270712
JMX8SSXL	270713
JMXB4FJR	270714
JMXCD25Z	270715
JMXDMLR5	270716
JMXFX7DB	270717
JMXH6S1H	270718
JMXJGDLN	270719
JMXKQ17T	270720
JMXM1KT2	270721
JMXN96G7	270722
JMXPJR3D	270723
JMXQSCNK	270724
JMXS3Z9Q	270725
JMXTCJWX	270726
JMXWM5J4	270727
JMXXWQ59	270728
JMZ16BQG	270729
JMZ2FXCM	270730
JMZ3PHZS	270731
JMZ514L1	270732
JMZ68P76	270733
JMZ7J9SC	270734
JMZ8RWFJ	270735
JMZB3H2P	270736
JMZCC3MW	270737
JMZDLN93	270738
JMZFW8W8	270739
JMZH5THF	270740
JMZJFG4L	270741
JMZKP2PR	270742
JMZLZMBZ	270743
JMZN87Z5	270744
JMZPHSKB	270745
JMZQRF6H	270746
JMZS31RN	270747
JMZTBLDT	270748
JMZWL722	270749
JMZXTRM7	270750
JN115D8D	270751
JN12DZTK	270752
JN13NKGQ	270753
JN14Z63X	270754
JN167QP4	270755
JN17HCB9	270756
JN18QXXG	270757
JN1B2JJM	270758
JN1CB55S	270759
JN1DKPR1	270760
JN1FTBD6	270761
JN1H4X1C	270762
JN1JDHLJ	270763
JN1KN47P	270764
JN1LXNSW	270765
JN1N79G3	270766
JN1PGW38	270767
JN1QQGNF	270768
JN1S239L	270769
JN1T9MWR	270770
JN1WK8HZ	270771
JN1XST55	270772
JN214FQB	270773
JN22D2CH	270774
JN23MLZN	270775
JN24X7KT	270776
JN266S72	270777
JN27GDS7	270778
JN28Q1FD	270779
JN2B1L2K	270780
JN2C96MQ	270781
JN2DJR8X	270782
JN2FSCW4	270783
JN2H3ZH9	270784
JN2JCK4G	270785
JN2KM5PM	270786
JN2LWQBS	270787
JN2N6BZ1	270788
JN2PFXK6	270789
JN2QPJ6C	270790
JN2S14RJ	270791
JN2T8PDP	270792
JN2WJB1W	270793
JN2XRWM3	270794
JN313H88	270795
JN32C3TF	270796
JN33LNGL	270797
JN34W93R	270798
JN365TNZ	270799
JN37FGB5	270800
JN38P2XB	270801
JN39ZMJH	270802
JN3C885N	270803
JN3DHSQT	270804
JN3FRFD2	270805
JN3H3217	270806
JN3JBLLD	270807
JN3KL77K	270808
JN3LTRSQ	270809
JN3N5DFX	270810
JN3PF134	270811
JN3QNKN9	270812
JN3RZ69G	270813
JN3T7QWM	270814
JN3WHCHS	270815
JN3XQZ51	270816
JN412JQ6	270817
JN42B5CC	270818
JN43KPZJ	270819
JN44TBKP	270820
JN464X6W	270821
JN47DHS3	270822
JN48N4F8	270823
JN49XP2F	270824
JN4C79ML	270825
JN4DGW8R	270826
JN4FQGTZ	270827
JN4H23H5	270828
JN4J9N4B	270829
JN4KK8PH	270830
JN4LSTBN	270831
JN4N4FXT	270832
JN4PD2K2	270833
JN4QMM67	270834
JN4RX7RD	270835
JN4T6SDK	270836
JN4WGF1Q	270837
JN4XQ1LX	270838
JN511L84	270839
JN5296T9	270840
JN53JRGG	270841
JN54SD3M	270842
JN563ZNS	270843
JN57CKB1	270844
JN58M5X6	270845
JN59WQJC	270846
JN5C6C5J	270847
JN5DFXQP	270848
JN5FPJCW	270849
JN5H1513	270850
JN5J8PL8	270851
JN5KJB7F	270852
JN5LRWSL	270853
JN5N3HFR	270854
JN5PC42Z	270855
JN5QLNN5	270856
JN5RW99B	270857
JN5T5TWH	270858
JN5WFGHN	270859
JN5XP34T	270860
JN5ZZMQ2	270861
JN6288C7	270862
JN63HSZD	270863
JN64RFKK	270864
JN66326Q	270865
JN67BLRX	270866
JN68L7F4	270867
JN69TS29	270868
JN6C5DMG	270869
JN6DF18M	270870
JN6FNKTS	270871
JN6GZ6H1	270872
JN6J7R46	270873
JN6KHCPC	270874
JN6LQZBJ	270875
JN6N2JXP	270876
JN6PB5JW	270877
JN6QKQ63	270878
JN6RTBR8	270879
JN6T4XDF	270880
JN6WDJ1L	270881
JN6XN4LR	270882
JN6ZXP7Z	270883
JN7279T5	270884
JN73GWGB	270885
JN74QH3H	270886
JN7623NN	270887
JN779N9T	270888
JN78K8X2	270889
JN79STJ7	270890
JN7C4G5D	270891
JN7DD2QK	270892
JN7FMMCQ	270893
JN7GX7ZX	270894
JN7J6SL4	270895
JN7KGF79	270896
JN7LQ1SG	270897
JN7N1LFM	270898
JN7P972S	270899
JN7QJRN1	270900
JN7RSD96	270901
JN7T3ZWC	270902
JN7WCKHJ	270903
JN7XM64P	270904
JN7ZWQPW	270905
JN826CC3	270906
JN83FXZ8	270907
JN84PJKF	270908
JN86156L	270909
JN878PRR	270910
JN88JBDZ	270911
JN89RX25	270912
JN8C3HMB	270913
JN8DC48H	270914
JN8FLNTN	270915
JN8GW9GT	270916
JN8J5W42	270917
JN8KFGP7	270918
JN8LP3BD	270919
JN8MZMXK	270920
JN8P88JQ	270921
JN8QHT5X	270922
JN8RRFR4	270923
JN8T32D9	270924
JN8WBM1G	270925
JN8XL7LM	270926
JN8ZTS7S	270927
JN925DT1	270928
JN93F1G6	270929
JN94NL3C	270930
JN95Z6NJ	270931
JN977R9P	270932
JN98HCWW	270933
JN99QZJ3	270934
JN9C2K58	270935
JN9DB5QF	270936
JN9FKQCL	270937
JN9GTBZR	270938
JN9J4XKZ	270939
JN9KDJ75	270940
JN9LN4SB	270941
JN9MXPFH	270942
JN9P7B2N	270943
JN9QGWMT	270944
JN9RQH92	270945
JN9T23W7	270946
JN9W9NHD	270947
JN9XK94K	270948
JN9ZSTPQ	270949
JNB24GBX	270950
JNB3D2Z4	270951
JNB4MMK9	270952
JNB5X86G	270953
JNB76SRM	270954
JNB8GFDS	270955
JNB9Q221	270956
JNBC1LM6	270957
JNBD978C	270958
JNBFJRTJ	270959
JNBGSDGP	270960
JNBJ413W	270961
JNBKCKP3	270962
JNBLM6B8	270963
JNBMWQXF	270964
JNBP6CJL	270965
JNBQFZ5R	270966
JNBRPJQZ	270967
JNBT15D5	270968
JNBW8Q1B	270969
JNBXJBLH	270970
JNBZRX7N	270971
JNC23HST	270972
JNC3C4G2	270973
JNC4LP37	270974
JNC5W9ND	270975
JNC75W9K	270976
JNC8FGWQ	270977
JNC9P3HX	270978
JNCBZN54	270979
JNCD88Q9	270980
JNCFHTCG	270981
JNCGRFZM	270982
JNCJ32KS	270983
JNCKBM71	270984
JNCLL7S6	270985
JNCMTSFC	270986
JNCP5F2J	270987
JNCQF1MP	270988
JNCRNL8W	270989
JNCSZ6W3	270990
JNCW7RH8	270991
JNCXHD4F	270992
JNCZQZPL	270993
JND22KBR	270994
JND3B5XZ	270995
JND4KQK5	270996
JND5TC6B	270997
JND74XRH	270998
JND8DJDN	270999
JND9N51T	271000
JNDBXPM2	271001
JNDD7B87	271002
JNDFGWTD	271003
JNDGQHGK	271004
JNDJ243Q	271005
JNDK9NNX	271006
JNDLK9B4	271007
JNDMSTX9	271008
JNDP4GJG	271009
JNDQD35M	271010
JNDRMMQS	271011
JNDSX8D1	271012
JNDW6T16	271013
JNDXGFLC	271014
JNDZQ27J	271015
JNF21LSP	271016
JNF397FW	271017
JNF4JS33	271018
JNF5SDN8	271019
JNF7419F	271020
JNF8CKWL	271021
JNF9M6HR	271022
JNFBWR4Z	271023
JNFD6CQ5	271024
JNFFFZCB	271025
JNFGPJZH	271026
JNFJ15KN	271027
JNFK8Q6T	271028
JNFLJBS2	271029
JNFMRXF7	271030
JNFP3J2D	271031
JNFQC4MK	271032
JNFRLP8Q	271033
JNFSW9TX	271034
JNFW5WH4	271035
JNFXFH49	271036
JNFZP3PG	271037
JNG1ZNBM	271038
JNG388XS	271039
JNG4HTK1	271040
JNG5RG66	271041
JNG732RC	271042
JNG8BMDJ	271043
JNG9L81P	271044
JNGBTSLW	271045
JNGD5F83	271046
JNGFF1T8	271047
JNGGNLGF	271048
JNGHZ73L	271049
JNGK7RNR	271050
JNGLHD9Z	271051
JNGMQZX5	271052
JNGP2KJB	271053
JNGQB65H	271054
JNGRKQQN	271055
JNGSTCCT	271056
JNGW4Z12	271057
JNGXDJL7	271058
JNGZN57D	271059
JNH1XPSK	271060
JNH37BFQ	271061
JNH4GX2X	271062
JNH5QHN4	271063
JNH72499	271064
JNH89NWG	271065
JNH9K9HM	271066
JNHBSW4S	271067
JNHD4GQ1	271068
JNHFD3C6	271069
JNHGMMZC	271070
JNHHX8KJ	271071
JNHK6T6P	271072
JNHLGFRW	271073
JNHMQ2F3	271074
JNHP1M28	271075
JNHQ97MF	271076
JNHRJS8L	271077
JNHSSDTR	271078
JNHW41GZ	271079
JNHXCL45	271080
JNHZM6PB	271081
JNJ1WRBH	271082
JNJ36CXN	271083
JNJ4FZJT	271084
JNJ5PK62	271085
JNJ715R7	271086
JNJ88QDD	271087
JNJ9JC1K	271088
JNJBRXLQ	271089
JNJD3J7X	271090
JNJFC4T4	271091
JNJGLPG9	271092
JNJHWB3G	271093
JNJK5WNM	271094
JNJLFH9S	271095
JNJMP3X1	271096
JNJNZNJ6	271097
JNJQ895C	271098
JNJRHTQJ	271099
JNJSRGCP	271100
JNJW32ZW	271101
JNJXBML3	271102
JNJZL878	271103
JNK1TSSF	271104
JNK35FFL	271105
JNK4F22R	271106
JNK5NLMZ	271107
JNK6Z795	271108
JNK87RWB	271109
JNK9HDHH	271110
JNKBR14N	271111
JNKD2KPT	271112
JNKFB6C2	271113
JNKGKQZ7	271114
JNKHTCKD	271115
JNKK4Z6K	271116
JNKLDJRQ	271117
JNKMN5DX	271118
JNKNXQ24	271119
JNKQ7BM9	271120
JNKRGX8G	271121
JNKSQHTM	271122
JNKW24GS	271123
JNKX9P41	271124
JNKZK9P6	271125
JNL1SWBC	271126
JNL34GXJ	271127
JNL4D3JP	271128
JNL5MN5W	271129
JNL6X8R3	271130
JNL86TD8	271131
JNL9GG1F	271132
JNLBQ2LL	271133
JNLD1M7R	271134
JNLF97SZ	271135
JNLGJSG5	271136
JNLHSF3B	271137
JNLK41NH	271138
JNLLCL9N	271139
JNLMM6WT	271140
JNLNWRJ2	271141
JNLQ6D57	271142
JNLRFZQD	271143
JNLSPKCK	271144
JNLW15ZQ	271145
JNLX8QKX	271146
JNLZJC74	271147
JNM1RXS9	271148
JNM33JFG	271149
JNM4C52M	271150
JNM5LPMS	271151
JNM6WB91	271152
JNM85WW6	271153
JNM9FHHC	271154
JNMBP44J	271155
JNMCZNPP	271156
JNMF89BW	271157
JNMGHTZ3	271158
JNMHRGK8	271159
JNMK336F	271160
JNMLBMRL	271161
JNMML8DR	271162
JNMNTT1Z	271163
JNMQ5FM5	271164
JNMRF28B	271165
JNMSNLTH	271166
JNMTZ7GN	271167
JNMX7S3T	271168
JNMZHDP2	271169
JNN1R1B7	271170
JNN32KXD	271171
JNN4B6JK	271172
JNN5KR5Q	271173
JNN6TCQX	271174
JNN84ZD4	271175
JNN9DK19	271176
JNNBN5LG	271177
JNNCXQ7M	271178
JNNF7BSS	271179
JNNGGXG1	271180
JNNHQJ36	271181
JNNK24NC	271182
JNNL9P9J	271183
JNNMK9WP	271184
JNNNSWHW	271185
JNNQ4H53	271186
JNNRD3Q8	271187
